# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
932,WOS:000374383800009,2016,Accuracy of grid precipitation data for Brazil: application in river discharge modelling of the Tocantins catchment,"Monteiro, Jose A. F.|Strauch, Michael|Srinivasan, Raghavan|Abbaspour, Karim|Guecker, Bjoern",HYDROLOGICAL PROCESSES,cfsr|wfdei|precipitation|watershed modelling|brazil|tropics,10.1002/hyp.10708,http://dx.doi.org/10.1002/hyp.10708,,,,,,
942,WOS:000370178000024,2016,Integrating social-ecological vulnerability assessments with climate forecasts to improve local climate adaptation planning for coral reef fisheries in Papua New Guinea,"Maina, Joseph|Kithiia, Justus|Cinner, Josh|Neale, Ezra|Noble, Sylvia|Charles, Daniel|Watson, James E. M.",REGIONAL ENVIRONMENTAL CHANGE,climate change|adaptation planning|socioecological vulnerability|coral reef fisheries|papua new guinea,10.1007/s10113-015-0807-0,http://dx.doi.org/10.1007/s10113-015-0807-0,,,,,,
1791,WOS:000377452800005,2016,An Integrated GIS Approach to Assess the Mini Hydropower Potential,"Palla, A.|Gnecco, I.|La Barbera, P.|Ivaldi, M.|Caviglia, D.",WATER RESOURCES MANAGEMENT,flow duration curve|gis|optimal design|plantcapacity|run-of-river plant|small hydropower,10.1007/s11269-016-1318-6,http://dx.doi.org/10.1007/s11269-016-1318-6,,,,,,
1771,WOS:000382595000003,2016,Overview of current regional and local scale air quality modelling practices: Assessment and planning tools in the EU,"Thunis, P.|Miranda, A.|Baldasano, J. M.|Blond, N.|Douros, J.|Graff, A.|Janssen, S.|Juda-Rezler, K.|Karvosenoja, N.|Maffeis, G.|Martilli, A.|Rasoloharimahefa, M.|Real, E.|Viaene, P.|Volta, M.|White, L.",ENVIRONMENTAL SCIENCE & POLICY,air quality modeling|air quality planning|integrated assessment modeling|air quality directive,10.1016/j.envsci.2016.03.013,http://dx.doi.org/10.1016/j.envsci.2016.03.013,,,,,,
1770,WOS:000382269500002,2016,Flexibility on storage-release based distributed hydrologic modeling with object-oriented approach,"Kang, Kwangmin|Merwade, Venkatesh|Chun, Jong Ahn|Timlin, Dennis",JOURNAL OF HYDROLOGY,modeling framework|object-oriented|flexibility|extensibility|store dhm,10.1016/j.jhydrol.2016.06.009,http://dx.doi.org/10.1016/j.jhydrol.2016.06.009,,,,,,
1759,WOS:000389611300043,2016,"Risk Modelling Framework for Emergency Hospital Readmission, Using Hospital Episode Statistics Inpatient Data","Mesgarpour, Mohsen|Chaussalet, Thierry|Chahed, Salma",2016 IEEE 29TH INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS (CBMS),hospital episode statistics|emergency hospital readmission|inpatient|bayes point machine|feature selection|framework,10.1109/CBMS.2016.21,http://dx.doi.org/10.1109/CBMS.2016.21,,,,,,
1751,WOS:000373691200022,2016,Predicting Soil Infiltration and Horizon Thickness for a Large-Scale Water Balance Model in an Arid Environment,"Saito, Tadaomi|Yasuda, Hiroshi|Suganuma, Hideki|Inosako, Koji|Abe, Yukuo|Kojima, Toshinori",WATER,remote sensing|soil permeability|land cover|spatial variability|hydraulic conductivity|eucalyptus camaldulensis|arid land|acacia aneura,10.3390/w8030096,http://dx.doi.org/10.3390/w8030096,,,,,,
1793,WOS:000367030800021,2016,Economic impacts of carbon dioxide and methane released from thawing permafrost,"Hope, Chris|Schaefer, Kevin",NATURE CLIMATE CHANGE,,10.1038/NCLIMATE2807,http://dx.doi.org/10.1038/NCLIMATE2807,,,,,,
1744,WOS:000377708400011,2016,Rethinking Pumped Storage Hydropower in the European Alps A Call for New Integrated Assessment Tools to Support the Energy Transition,"Gurung, Astrid Bjornsen|Borsdorf, Axel|Fuereder, Leopold|Kienast, Felix|Matt, Peter|Scheidegger, Christoph|Schmocker, Lukas|Zappa, Massimiliano|Volkart, Kathrin",MOUNTAIN RESEARCH AND DEVELOPMENT,austria|energy transition|alps|environmental impacts|pumped storage hydropower|sustainability assessment|switzerland,10.1659/MRD-JOURNAL-D-15-00069.1,http://dx.doi.org/10.1659/MRD-JOURNAL-D-15-00069.1,,,,,,
1855,WOS:000367982900007,2016,Toward an integrated monitoring framework to assess the effects of tropical forest degradation and recovery on carbon stocks and biodiversity,"Bustamante, Mercedes M. C.|Roitman, Iris|Aide, T. . Mitchell|Alencar, Ane|Anderson, Liana O.|Aragao, Luiz|Asner, Gregory P.|Barlow, Jos|Berenguer, Erika|Chambers, Jeffrey|Costa, Marcos H.|Fanin, Thierry|Ferreira, Laerte G.|Ferreira, Joice|Keller, Michael|Magnusson, William E.|Morales-Barquero, Lucia|Morton, Douglas|Ometto, Jean P. H. B.|Palace, Michael|Peres, Carlos A.|Silverio, Divino|Trumbore, Susan|Vieira, Ima C. G.",GLOBAL CHANGE BIOLOGY,carbon emissions|ecosystem modeling|field inventories|forest dynamics|remote sensing,10.1111/gcb.13087,http://dx.doi.org/10.1111/gcb.13087,,,,,,
1862,WOS:000372392100007,2016,How Well Does LCA Model Land Use Impacts on Biodiversity?-A Comparison with Approaches from Ecology and Conservation,"Curran, Michael|de Souza, Danielle Maia|Anton, Assumpcio|Teixeira, Ricardo F. M.|Michelsen, Ottar|Vidal-Legaz, Beatriz|Sala, Serenella|Mila i Canals, Llorenc",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,10.1021/acs.est.5b04681,http://dx.doi.org/10.1021/acs.est.5b04681,,,,,,
1929,WOS:000387763100005,2016,Fast event-based epidemiological simulations on national scales,"Bauer, Pavol|Engblom, Stefan|Widgren, Stefan",INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,computational epidemiology|discrete event simulation|multicore implementation|stochastic modeling|task-based computing,10.1177/1094342016635723,http://dx.doi.org/10.1177/1094342016635723,,,,,,
1921,WOS:000373550100023,2016,Satellite soil moisture for agricultural drought monitoring: Assessment of the SMOS derived Soil Water Deficit Index,"Martinez-Fernandez, J.|Gonzalez-Zamora, A.|Sanchez, N.|Gumuzzio, A.|Herrero-Jimenez, C. M.",REMOTE SENSING OF ENVIRONMENT,soil moisture|smos|soil water deficit index|agricultural drought|soil water parameters,10.1016/j.rse.2016.02.064,http://dx.doi.org/10.1016/j.rse.2016.02.064,,,,,,
1920,WOS:000388493400040,2016,Reliable long-range ensemble streamflow forecasts: Combining calibrated climate forecasts with a conceptual runoff model and a staged error model,"Bennett, James C.|Wang, Q. J.|Li, Ming|Robertson, David E.|Schepen, Andrew",WATER RESOURCES RESEARCH,seasonal streamflow forecasting|ensemble prediction|cgcm|error modeling|hydrological uncertainty,10.1002/2016WR019193,http://dx.doi.org/10.1002/2016WR019193,,,,,,
874,WOS:000380101700002,2016,Impact of antecedent conditions on simulations of a flood in a mountain headwater basin,"Fang, Xing|Pomeroy, John W.",HYDROLOGICAL PROCESSES,flood|rain-on-snow|antecedent condition|snow|subsurface storage|canadian rockies|forest hydrology,10.1002/hyp.10910,http://dx.doi.org/10.1002/hyp.10910,,,,,,
1913,WOS:000383291700020,2016,Spatially explicit integrated modeling and economic valuation of climate driven land use change and its indirect effects,"Bateman, Ian|Agarwala, Matthew|Binner, Amy|Coombes, Emma|Day, Brett|Ferrini, Silvia|Fezzi, Carlo|Hutchins, Michael|Lovett, Andrew|Posen, Paulette",JOURNAL OF ENVIRONMENTAL MANAGEMENT,integrated models|land use|agriculture|climate change|water quality|recreation|economics|spatial analysis,10.1016/j.jenvman.2016.06.020,http://dx.doi.org/10.1016/j.jenvman.2016.06.020,,,,,,
888,WOS:000383054400014,2016,Low efficiency of sewage treatment plants due to unskilled operations in India,"Chatterjee, Pritha|Ghangrekar, M. M.|Rao, Surampalli",ENVIRONMENTAL CHEMISTRY LETTERS,aerobic process|anaerobic process|centralized sewage treatment plants|decentralized sewage treatment plants|performance evaluation|wastewater management,10.1007/s10311-016-0551-9,http://dx.doi.org/10.1007/s10311-016-0551-9,,,,,,
917,WOS:000386421200016,2016,Modeling flash floods in southern France for road management purposes,"Vincendon, Beatrice|Edouard, Simon|Dewaele, Helene|Ducrocq, Veronique|Lespinas, Franck|Delrieu, Guy|Anquetin, Sandrine",JOURNAL OF HYDROLOGY,flash-flood|road cuts|hydrological modeling|calibration|sensitivity,10.1016/j.jhydrol.2016.05.054,http://dx.doi.org/10.1016/j.jhydrol.2016.05.054,,,,,,
1904,WOS:000388912300042,2016,Assessing sustainability at farm-level: Lessons learned from a comparison of tools in practice,"de Olde, Evelien M.|Oudshoorn, Frank W.|Sorensen, Claus A. G.|Bokkers, Eddie A. M.|de Boer, Imke J. M.",ECOLOGICAL INDICATORS,agricultural production|farm level|livestock|relevance|sustainability assessment tools,10.1016/j.ecolind.2016.01.047,http://dx.doi.org/10.1016/j.ecolind.2016.01.047,,,,,,
1891,WOS:000376459200030,2016,Fast estimation of dense gas dispersion from multiple continuous CO2 surface leakage sources for risk assessment,"Zhang, Yingqi|Oldenburg, Curtis M.|Pan, Lehua",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,dense gas dispersion from multiple sources|reduced order model|risk assessment|integrated assessment model,10.1016/j.ijggc.2016.03.002,http://dx.doi.org/10.1016/j.ijggc.2016.03.002,,,,,,
898,WOS:000379183600001,2016,Predictive Temporal Data-Mining Approach for Evolving Knowledge Based Reservoir Operation Rules,"Mohan, S.|Ramsundram, N.",WATER RESOURCES MANAGEMENT,reservoir operation|data-mining|ann|svr,10.1007/s11269-016-1351-5,http://dx.doi.org/10.1007/s11269-016-1351-5,,,,,,
1883,WOS:000369527900002,2016,Progress and Challenges in Coupled Hydrodynamic-Ecological Estuarine Modeling,"Ganju, Neil K.|Brush, Mark J.|Rashleigh, Brenda|Aretxabaleta, Alfredo L.|del Barrio, Pilar|Grear, Jason S.|Harris, Lora A.|Lake, Samuel J.|McCardell, Grant|O'Donnell, James|Ralston, David K.|Signell, Richard P.|Testa, Jeremy M.|Vaudrey, Jamie M. P.",ESTUARIES AND COASTS,numerical modeling|hydrodynamics|ecological modeling|ecosystem modeling|skill assessment,10.1007/s12237-015-0011-y,http://dx.doi.org/10.1007/s12237-015-0011-y,,,,,,
904,WOS:000369456300006,2016,Re-defining historical geographic range in species with sparse records: Implications for the Mexican wolf reintroduction program,"Hendricks, Sarah A.|Clee, Paul R. Sesink|Harrigan, Ryan J.|Pollinger, John P.|Freedman, Adam H.|Callas, Richard|Figura, Peter J.|Wayne, Robert K.",BIOLOGICAL CONSERVATION,anthropogenic disturbance|canis lupus baileyi|distribution modeling|historical range|museum specimens|reintroduction programs,10.1016/j.biocon.2015.11.027,http://dx.doi.org/10.1016/j.biocon.2015.11.027,,,,,,
1879,WOS:000409034800002,2016,Flow forecasts in a non-perennial river of an arid basin using neural networks,"Zemzami, Mahmoud",JOURNAL OF APPLIED WATER ENGINEERING AND RESEARCH,artificial neural networks|arid watershed|non-perennial river|flow forecasting|morocco,10.1080/23249676.2015.1072851,http://dx.doi.org/10.1080/23249676.2015.1072851,,,,,,
916,WOS:000365335000021,2016,Global optimization of multiphase flow networks using spline surrogate models,"Grimstad, Bjarne|Foss, Bjarne|Heddle, Richard|Woodman, Malcolm",COMPUTERS & CHEMICAL ENGINEERING,nonlinear flow networks|petroleum production optimization|mixed-integer nonlinear programming|branch-and-bound|splines,10.1016/j.compchemeng.2015.08.022,http://dx.doi.org/10.1016/j.compchemeng.2015.08.022,,,,,,
1902,WOS:000375682100002,2016,Will economic growth and fossil fuel scarcity help or hinder climate stabilization? Overview of the RoSE multi-model study,"Kriegler, Elmar|Mouratiadou, Ioanna|Luderer, Gunnar|Bauer, Nico|Brecha, Robert J.|Calvin, Katherine|De Cian, Enrica|Edmonds, Jae|Jiang, Kejun|Tavoni, Massimo|Edenhofer, Ottmar",CLIMATIC CHANGE,,10.1007/s10584-016-1668-3,http://dx.doi.org/10.1007/s10584-016-1668-3,,,,,,
950,WOS:000372690900016,2016,"An integrated theoretical framework to enhance resource efficiency, sustainability and human health in agri-food systems","Horton, Peter|Koh, Lenny|Guang, Victor Shi",JOURNAL OF CLEANER PRODUCTION,food security|agrifood systems|sustainability|resource efficiency|life cycle assessment,10.1016/j.jclepro.2015.08.092,http://dx.doi.org/10.1016/j.jclepro.2015.08.092,,,,,,
1735,WOS:000386846300006,2016,Air quality co-benefits of subnational carbon policies,"Thompson, Tammy M.|Rausch, Sebastian|Saari, Rebecca K.|Selin, Noelle E.",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,,10.1080/10962247.2016.1192071,http://dx.doi.org/10.1080/10962247.2016.1192071,,,,,,
961,WOS:000378953700039,2016,Hydro-economic modeling with aquifer-river interactions to guide sustainable basin management,"Kahil, Mohamed Taher|Ward, Frank A.|Albiac, Jose|Eggleston, Jack|Sanz, David",JOURNAL OF HYDROLOGY,hydro-economic modeling|aquifer-river interactions|climate change|water policies,10.1016/j.jhydrol.2016.05.057,http://dx.doi.org/10.1016/j.jhydrol.2016.05.057,,,,,,
1581,WOS:000389089300002,2016,Cap and trade policy for managing water competition from potential future carbon plantations,"Connor, Jeffery D.|Bryan, Brett A.|Nolan, Martin",ENVIRONMENTAL SCIENCE & POLICY,water trade|carbon sequestration|integrated assessment|forest water interception|land use economics|reforestation,10.1016/j.envsci.2016.07.005,http://dx.doi.org/10.1016/j.envsci.2016.07.005,,,,,,
1578,WOS:000379259800039,2016,Tracking multiple sediment cascades at the river network scale identifies controls and emerging patterns of sediment connectivity,"Schmitt, Rafael J. P.|Bizzi, Simone|Castelletti, Andrea",WATER RESOURCES RESEARCH,sediment transport modeling|sediment connectivity|sediment cascades|river network scale,10.1002/2015WR018097,http://dx.doi.org/10.1002/2015WR018097,,,,,,
996,WOS:000373117300008,2016,Evaluating marginal likelihood with thermodynamic integration method and comparison with several other numerical methods,"Liu, Peigui|Elshall, Ahmed S.|Ye, Ming|Beerli, Peter|Zeng, Xiankui|Lu, Dan|Tao, Yuezan",WATER RESOURCES RESEARCH,bayesian model averaging|arithmetic mean|harmonic mean|nested sampling|model uncertainty|markov chain monte carlo,10.1002/2014WR016718,http://dx.doi.org/10.1002/2014WR016718,,,,,,
1000,WOS:000379191700002,2016,Estimating irrigation inputs for distributed hydrological modelling: a case study from an irrigated catchment in southeast Australia,"Githui, Faith|Thayalakumaran, Thabo|Selle, Benny",HYDROLOGICAL PROCESSES,swat|irrigation runoff|remotely sensed evapotranspiration,10.1002/hyp.10757,http://dx.doi.org/10.1002/hyp.10757,,,,,,
1011,WOS:000383506600003,2016,Probabilistic flood hazard maps for Jakarta derived from a stochastic rain-storm generator,"Nuswantoro, R.|Diermanse, F.|Molkenthin, F.",JOURNAL OF FLOOD RISK MANAGEMENT,flood inundation|jakarta basin|monte carlo|spatial variability|uncertainty,10.1111/jfr3.12114,http://dx.doi.org/10.1111/jfr3.12114,,,,,,
1560,WOS:000376500600011,2016,Bridging analytical approaches for low-carbon transitions,"Geels, Frank W.|Berkhout, Frans|van Vuuren, Detlef P.",NATURE CLIMATE CHANGE,,10.1038/NCLIMATE2980,http://dx.doi.org/10.1038/NCLIMATE2980,,,,,,
993,WOS:000380817000007,2016,Uncertainty in future irrigation water demand and risk of crop failure for maize in Europe,"Webber, Heidi|Gaiser, Thomas|Oomen, Roelof|Teixeira, Edmar|Zhao, Gang|Wallach, Daniel|Zimmermann, Andrea|Ewert, Frank",ENVIRONMENTAL RESEARCH LETTERS,crop model|impact assessment|crop water use|evapotranspiration|irrigation|drought|uncertainty,10.1088/1748-9326/11/7/074007,http://dx.doi.org/10.1088/1748-9326/11/7/074007,,,,,,
1558,WOS:000368813100024,2016,Effect of Irrigation and Climate Variability on Water Quality of Coastal Watersheds: Case Study in Alabama,"Mirhosseini, Golbahar|Srivastava, Puneet",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,irrigation|water quality|el nino southern oscillation (enso)|modeling|soil and water assessment tool (swat),10.1061/(ASCE)IR.1943-4774.0000976,http://dx.doi.org/10.1061/(ASCE)IR.1943-4774.0000976,,,,,,
1023,WOS:000380099500007,2016,Holistic assessment of a landfill mining pilot project in Austria: Methodology and application,"Hermann, Robert|Baumgartner, Rupert J.|Vorbach, Stefan|Wolfsberger, Tanja|Ragossnig, Arne|Pomberger, Roland",WASTE MANAGEMENT & RESEARCH,landfill mining|integrated assessment|mass landfill|net present value analysis|utility analysis,10.1177/0734242X16644517,http://dx.doi.org/10.1177/0734242X16644517,,,,,,
1030,WOS:000407704400010,2016,Hydrological modeling of a detention reservoir: flood control and aquifer recharge,"Righetto, Antonio Marozzi|Freitas, Bruno",RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,rainfall-discharge model|unsaturated soil|phreatic groundwater|numerical simulation,10.1590/2318-0331.011616041,http://dx.doi.org/10.1590/2318-0331.011616041,,,,,,
1554,WOS:000393152800060,2016,Snow cover detection algorithm using dynamic time warping method and reflectances of MODIS solar spectrum channels,"Lee, Kyeong-sang|Choi, Sungwon|Seo, Minji|Lee, Chang Suk|Seong, Noh-hun|Han, Kyung-Soo|Neale, CMU|Maltese, A","REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XVIII",dtw|snow cover|classification,10.1117/12.2241732,http://dx.doi.org/10.1117/12.2241732,,,,,,
1547,WOS:000368805800014,2016,Hydrological Modeling Using a Multisite Stochastic Weather Generator,"Chen, Jie|Brissette, Francois P.|Zhang, Xunchang J.",JOURNAL OF HYDROLOGIC ENGINEERING,multisite weather generator (mulgets)|hydrological modeling|interstation correlation|single-site weather generator (weagets),10.1061/(ASCE)HE.1943-5584.0001288,http://dx.doi.org/10.1061/(ASCE)HE.1943-5584.0001288,,,,,,
1544,WOS:000377183400013,2016,Item Response Theory,"Cai, Li|Choi, Kilchan|Hansen, Mark|Harrell, Lauren|Fienberg, SE|Stigler, SM","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION, VOL 3",discrete multivariate analysis|item factor analysis|multilevel irt|multidimensional irt|diagnostic classification models|model fit testing,10.1146/annurev-statistics-041715-033702,http://dx.doi.org/10.1146/annurev-statistics-041715-033702,,,,,,
1543,WOS:000384773400009,2016,Streamflow response to the rapid retreat of a lake-calving glacier,"Moyer, Alexis N.|Moore, R. D.|Koppes, Michele N.",HYDROLOGICAL PROCESSES,lake-calving glacier|hydrological modelling|trend analysis|glacier hydrology|glacier retreat|peak water,10.1002/hyp.10890,http://dx.doi.org/10.1002/hyp.10890,,,,,,
1019,WOS:000370563100001,2016,QRF: An Optimization-Based Framework for Evaluating Complex Stochastic Networks,"Casale, Giuliano|Persone, Vittoria De Nitto|Smirni, Evgenia",ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,queueing|blocking|temporal dependence|state-dependence,10.1145/2724709,http://dx.doi.org/10.1145/2724709,,,,,,
1593,WOS:000380817000002,2016,The German drought monitor,"Zink, Matthias|Samaniego, Luis|Kumar, Rohini|Thober, Stephan|Mai, Juliane|Schaefer, David|Marx, Andreas",ENVIRONMENTAL RESEARCH LETTERS,real-time monitoring|agricultural drought|operational hydrological modeling|mesoscale hydrologic model (mhm)|soil moisture index (smi),10.1088/1748-9326/11/7/074002,http://dx.doi.org/10.1088/1748-9326/11/7/074002,,,,,,
1599,WOS:000375506100003,2016,"Sensitivity of DEM, slope, aspect and watershed attributes to LiDAR measurement uncertainty","Goulden, T.|Hopkinson, C.|Jamieson, R.|Sterling, S.",REMOTE SENSING OF ENVIRONMENT,lidar|uncertainty|terrain analysis|watershed,10.1016/j.rse.2016.03.005,http://dx.doi.org/10.1016/j.rse.2016.03.005,,,,,,
1609,WOS:000371253100008,2016,Climate change effects on lowland stream flood regimes and riparian rich fen vegetation communities in Denmark,"Thodsen, Hans|Baattrup-Pedersen, Annette|Andersen, Hans Estrup|Jensen, Karen Marie Brask|Andersen, Peter Mejlhede|Bolding, Karsten|Ovesen, Niels Bering",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,hydrological modelling|flooding|protected vegetation|vegetation habitats|hydrology|climate change,10.1080/02626667.2014.990965,http://dx.doi.org/10.1080/02626667.2014.990965,,,,,,
1724,WOS:000371900500025,2016,Assessing the Environmental and Socio-Economic Impacts of Artisanal Gold Mining on the Livelihoods of Communities in the Tarkwa Nsuaem Municipality in Ghana,"Obiri, Samuel|Mattah, Precious A. D.|Mattah, Memuna M.|Armah, Frederick A.|Osae, Shiloh|Adu-kumi, Sam|Yeboah, Philip O.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,10.3390/ijerph13020160,http://dx.doi.org/10.3390/ijerph13020160,,,,,,
972,WOS:000371361000004,2016,Spatial impacts of the CAP post-2013 and climate change scenarios on agricultural intensification and environment in Austria,"Kirchner, Mathias|Schoenhart, Martin|Schmid, Erwin",ECOLOGICAL ECONOMICS,agri-environmental program|spatial targeting|climate change impacts|cap post-2013|integrated analysis,10.1016/j.ecolecon.2015.12.009,http://dx.doi.org/10.1016/j.ecolecon.2015.12.009,,,,,,
975,WOS:000389089300021,2016,National pathways to the Sustainable Development Goals (SDGs): A comparative review of scenario modelling tools,"Allen, Cameron|Metternicht, Graciela|Wiedmann, Thomas",ENVIRONMENTAL SCIENCE & POLICY,scenario modelling|sustainable development goals|sustainability science|ecological economics|multi-criteria analysis|analytical hierarchy process,10.1016/j.envsci.2016.09.008,http://dx.doi.org/10.1016/j.envsci.2016.09.008,,,,,,
976,WOS:000393294000052,2016,Predicting Obesity from Grocery Data: A Conceptual Process Framework,"Daud, Nur'Aina|Noor, Nor Laila Mohd|Noordin, Nurulhuda|Saman, Fauzi Mohd|Teng, Nur Islami Mohd Fahmi",2016 6TH INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY FOR THE MUSLIM WORLD (ICT4M),data analytics|data mining|predictive analytics|grocery data|dietary intake patterns|obesity,10.1109/ICT4M.2016.58,http://dx.doi.org/10.1109/ICT4M.2016.58,,,,,,
1692,WOS:000388600900004,2016,Modelling and assessment of the combined impacts of climatic and demographic change on a multipurpose reservoir system in the Harz mountains,"Gocht, Martin|Meon, Guenter",ENVIRONMENTAL EARTH SCIENCES,climatic change|demographic change|flood risk management|multi-reservoir system|optimization,10.1007/s12665-016-6099-y,http://dx.doi.org/10.1007/s12665-016-6099-y,,,,,,
1687,WOS:000379262000005,2016,"Spatiotemporal models for predicting high pollen concentration level of Corylus, Alnus, and Betula","Nowosad, Jakub",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,allergenic pollen|betulaceae|predictive modeling|spatiotemporal models|machine learning|random forest,10.1007/s00484-015-1077-8,http://dx.doi.org/10.1007/s00484-015-1077-8,,,,,,
1683,WOS:000391006000019,2016,"A socio-hydrological comparative assessment explaining regional variances in suicide rate amongst farmers in Maharashtra, India","den Besten, Nadja I.|Pande, Saket|Savenije, Hubert H. G.|Schumann, AH|Bloschl, G|Castellarin, A|Dietrich, J|Grimaldi, S|Haberlandt, U|Montanari, A|Rosbjerg, D|Viglione, A|Vorogushyn, S",SPATIAL DIMENSIONS OF WATER MANAGEMENT - REDISTRIBUTION OF BENEFITS AND RISKS,,10.5194/piahs-373-115-2016,http://dx.doi.org/10.5194/piahs-373-115-2016,,,,,,
1666,WOS:000392866700012,2016,Impacts of changing climate on the hydrology and hydropower production of the Tagus River basin,"Lobanova, Anastasia|Koch, Hagen|Liersch, Stefan|Hattermann, Fred F.|Krysanova, Valentina",HYDROLOGICAL PROCESSES,tagus|hydrological modelling|swim|reservoirs|hydropower|climate change,10.1002/hyp.10966,http://dx.doi.org/10.1002/hyp.10966,,,,,,
1655,WOS:000374868100012,2016,Integrated Information Repository for Risk Assessment of Embankment Dams: Requirements Identification for Evaluating the Risk of Internal Erosion,"Gulgec, Nur Sila|Ergan, Semiha|Akinci, Burcu|Kelly, Christopher J.",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,risk assessment|internal erosion|information requirement|dams|information modeling,10.1061/(ASCE)CP.1943-5487.0000509,http://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000509,,,,,,
987,WOS:000373800600076,2016,Seven Food System Metrics of Sustainable Nutrition Security,"Gustafson, David|Gutman, Alona|Leet, Whitney|Drewnowski, Adam|Fanzo, Jessica|Ingram, John",SUSTAINABILITY,crop modeling|open data|sustainability|resilience|waste and loss|nutrition security|food security|climate change|integrated modeling|food safety|economic modeling,10.3390/su8030196,http://dx.doi.org/10.3390/su8030196,,,,,,
1644,WOS:000365376400036,2016,Optimizing conjunctive use of surface water and groundwater for irrigation to address human-nature water conflicts: A surrogate modeling approach,"Wu, Xin|Zheng, Yi|Wu, Bin|Tian, Yong|Han, Feng|Zheng, Chunmiao",AGRICULTURAL WATER MANAGEMENT,irrigation|water diversion|integrated surface water-groundwater modeling|surrogate modeling|optimization|heihe river basin,10.1016/j.agwat.2015.08.022,http://dx.doi.org/10.1016/j.agwat.2015.08.022,,,,,,
1631,WOS:000372285600013,2016,Drought indicators-based integrated assessment of drought vulnerability: a case study of Bundelkhand droughts in central India,"Thomas, T.|Jaiswal, R. K.|Galkate, Ravi|Nayak, P. C.|Ghosh, N. C.",NATURAL HAZARDS,drought analysis|drought vulnerability|standardized precipitation index|surface water drought index|groundwater drought index,10.1007/s11069-016-2149-8,http://dx.doi.org/10.1007/s11069-016-2149-8,,,,,,
1628,WOS:000391817900012,2016,Using Lidar Elevation Data to Develop a Topobathymetric Digital Elevation Model for Sub-Grid Inundation Modeling at Langley Research Center,"Loftis, Jon Derek|Wang, Harry V.|DeYoung, Russell J.|Ball, William B.",JOURNAL OF COASTAL RESEARCH,flood modeling|storm surge|sea-level rise|hurricane irene|hurricane isabel|tidewater|virginia,10.2112/SI76-012,http://dx.doi.org/10.2112/SI76-012,,,,,,
1624,WOS:000392270100046,2016,Concepts and applications of the Flanders Hydrological Model environment,"Vansteenkiste, Thomas|Dewelde, Joost|Cabus, Pieter|de Jongh, Inge|Cauwenberghs, Kris|Lang, M|Klijn, F|Samuels, P",3RD EUROPEAN CONFERENCE ON FLOOD RISK MANAGEMENT (FLOODRISK 2016),,10.1051/e3sconf/20160704006,http://dx.doi.org/10.1051/e3sconf/20160704006,,,,,,
1623,WOS:000385007100007,2016,LARGE-SCALE FINE-RESOLUTION HYDROLOGICAL MODELING USING PARAMETER REGIONALIZATION IN THE MISSOURI RIVER BASIN,"Daggupati, Prasad|Deb, Debjani|Srinivasan, Raghavan|Yeganantham, Dhanesh|Mehta, Vikram M.|Rosenberg, Norman J.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,large-scale modeling|regionalization|calibration and validation|swat|fine-resolution modeling|crop and water yields,10.1111/1752-1688.12413,http://dx.doi.org/10.1111/1752-1688.12413,,,,,,
1032,WOS:000374383800010,2016,Estimation of instantaneous peak flows from maximum mean daily flows using the HBV hydrological model,"Ding, J.|Wallner, M.|Mueller, H.|Haberlandt, U.",HYDROLOGICAL PROCESSES,model calibration|instantaneous peak flow (ipf)|maximum mean daily flow (mdf)|hydrological modelling|rainfall disaggregation model|aller-leine catchment|germany,10.1002/hyp.10725,http://dx.doi.org/10.1002/hyp.10725,,,,,,
2603,WOS:000393314400010,2016,"Estimation of Soil Degradation under Prolonged Cyclic Loading, Simulating Storm Wave Effects on a Structure","Kutergin, V. N.|Manukin, A. B.|Pankov, K. V.|Kal'bergenov, R. G.|Karpenko, F. S.",WATER RESOURCES,strength|storm waves|shelf soils|cyclic tests|effect parameters,10.1134/S009780781607006X,http://dx.doi.org/10.1134/S009780781607006X,,,,,,
